deviceId,Name,Status,FDA Active,Last Code42 Heartbeat
1113460775764985675,Katie-C02FV1EMMD6M,Active,true,2023-09-01T21:40:32.979Z
1108263102876790164,Katie-C02FV1EMMD6M,Active,true,2023-09-01T21:21:50.020Z
1108542011068881524,Jamie-FVFH61DYQ6LT,Active,true,2023-09-01T20:22:12.932Z
1060699078935995737,Jamie-FVFH61DYQ6LT,Active,true,2023-09-01T22:54:47.280Z
1108301482805210516,Kavitha-C02F622HMD6M,Active,true,2023-04-17T08:46:21.398Z
998405498330005405,Kavitha-C02F622HMD6M,Active,true,2023-09-01T22:19:00.172Z
1047670218642997525,Stacey-HWY4T37TR4,Active,true,2023-09-01T23:19:47.418Z
1108625819040162259,Stacey-H4TFW0M3Q6X5,Active,true,2023-09-01T22:52:55.193Z
1013745425403008754,Stacey-H4TFW0M3Q6X5,Active,true,2023-09-01T20:48:35.679Z
1108541702188346772,Stacey-HWY4T37TR4,Active,true,2023-08-22T19:13:01.282Z
1108406401790718224,Amy-C02GD58FML85,Active,true,2023-09-01T21:50:39.780Z
1025204906006166425,AmyLow-C02GD58FML85,Active,true,2023-09-01T21:25:36.882Z
966522374921121364,Anne-C02CW6FVML85,Active,true,2023-09-01T23:06:56.988Z
1108270709175196276,Anne-C02CW6FVML85,Active,true,2023-09-01T22:28:36.297Z
1127554856488900887,dsRecTypeStandard:Users-KH412F41RX,Active,true,2023-09-01T22:51:51.707Z
1127554920245983943,dsRecTypeStandard:Users-KH412F,Active,true,2023-09-01T23:23:36.662Z
1122329221636396053,Ariannes-MacBook-Air,Active,true,2023-09-01T23:08:22.102Z
1122329214176348545,Arianne’s MacBook Air,Active,true,2023-09-01T23:14:31.648Z
1056223823874358320,Arianne-KH412F41RX,Active,true,2023-07-27T20:16:46.444Z
1108556922363875092,Arianne-KH412F41RX,Active,true,2023-07-27T18:51:44.087Z
1055221408242146697,Ali-GJGHC7V4G1,Active,true,2023-09-01T23:13:56.470Z
1113367575079709976,Ali-GJGHC7V4G1,Active,true,2023-09-01T22:29:41.576Z
720387607163976546,Ariane-C02DP2F6MD6M,Active,true,2023-09-01T21:55:00.439Z
1108151416196112851,Ariane-C02DP2F6MD6M,Active,true,2023-09-01T20:40:00.650Z
960110678416853254,Marshall-FVFHN0NEQ6LT,Active,true,2023-09-01T23:14:31.243Z
1108413457669336468,Marshall-FVFHN0NEQ6LT,Active,true,2023-09-01T23:21:49.235Z
998559761246126244,Alexandra-C02F668XML85,Active,true,2023-09-01T23:05:10.017Z
1108413841769533204,Alexandra-C02F668XML85,Active,true,2023-09-01T23:12:52.552Z
1124346397155225091,Arne-C02FF1MVML85,Active,true,2023-08-02T06:37:54.764Z
1003037032701301323,Arne-C02FF1MVML85,Active,true,2023-08-02T07:01:05.526Z
1115227832495382709,Peter-PQ9DX94X7N,Active,true,2023-09-01T21:49:26.412Z
1054170789421594950,Peter-FVFH715RQ6LT,Active,true,2023-09-01T23:18:16.140Z
1115227734701915473,Peter-PQ9DX94X7N,Active,true,2023-09-01T22:58:21.924Z
1108410103462861428,Peter-FVFH715RQ6LT,Active,true,2023-09-01T23:15:43.800Z
1108428775321248380,Desiree-FVFHN0P5Q6LT,Active,true,2023-09-01T23:21:43.733Z
1062614141345836224,Desiree-FVFHN0P5Q6LT,Active,true,2023-09-01T23:10:41.259Z
963181251933780703,Leatrice-C02Y83F5JG5H,Active,true,2023-09-01T23:20:07.949Z
1108270491598884628,Leatrice-C02Y83F5JG5H,Active,true,2023-09-01T23:23:51.450Z
1107114768359271828,Judy-C02FD3JRML85,Active,true,2023-09-01T22:41:22.978Z
1113378097318538838,Monica-MVMJFVQRW3,Active,unknown,2023-05-18T01:17:40.055Z
1113481344980237649,Craig-DMG36YKP4D,Active,true,2023-09-01T23:16:42.804Z
1048427406291917297,iMac1-C02TF10CGG7J,Active,false,2023-09-01T21:30:08.385Z
1110314787476212475,Craig-DMG36YKP4D,Active,true,2023-09-01T23:20:07.482Z
1112787963668975480,Curtis-CWHJ76L9FV,Active,true,2023-09-01T23:23:23.760Z
1113514248028319000,Curtis-CWHJ76L9FV,Active,true,2023-09-01T22:34:14.584Z
1108007041737029770,Elena-C02FC1SLMD6R,Active,true,2023-09-01T22:46:30.105Z
1018102801692913401,Elena-C02FC1SLMD6R,Active,true,2023-09-01T19:47:55.708Z
875635660252870931,Allison-NM44XT6M66,Active,true,2023-09-01T23:20:19.771Z
1108252012851801492,Allison-NM44XT6M66,Active,true,2023-09-01T23:01:34.110Z
1007976944380926527,Kyle-C02FN2S0ML85,Active,true,2023-08-28T18:03:00.353Z
1108105279103026596,Rodney-NT6MT9GHKN,Active,true,2023-09-01T17:24:43.966Z
1087110139345069126,Rodney-NT6MT9GHKN,Active,true,2023-09-01T18:25:00.889Z
1108382944644607380,Michael-C02ZR0V1LVDM,Active,true,2023-09-01T23:11:44.363Z
969252175243728928,Michael-C02ZR0V1LVDM,Active,true,2023-09-01T20:04:19.874Z
1055220634443304511,Phil-J3DLJ62TYX,Active,true,2023-09-01T21:35:06.252Z
1107111390234485203,Phil-J3DLJ62TYX,Active,true,2023-09-01T21:14:09.933Z
960110721563768674,Nina-C02ZT8T9MD6R,Active,true,2023-09-01T18:35:38.444Z
1107103635334743460,Nina-C02ZT8T9MD6R,Active,true,2023-09-01T21:10:19.508Z
1094387499688219702,Katie-T9L7F24N57,Active,true,2023-09-01T23:21:44.371Z
1108007083464274192,Katie-T9L7F24N57,Active,true,2023-09-01T22:59:08.784Z
1108015859908868234,Barbara-J6LWGQ7TDR,Active,true,2023-09-01T23:17:21.600Z
1055259892634524384,Barbara-J6LWGQ7TDR,Active,true,2023-09-01T23:15:59.274Z
1108550061067584932,Courtney-VKXDWC7174,Active,true,2023-09-01T23:23:14.351Z
